Orthogroup	pbar_genome.OGS.1.2.maker.proteins	acep_genome.OGS.1.2.maker.proteins
OG0000037	PBAR_PB10825-RA	ACEP_ACEP_00013966-RA
OG0000037	PBAR_PB24933-RA	ACEP_ACEP_00009266-RA
OG0000037	PBAR_pbar_CG8306-RA	ACEP_ACEP_00009267-RA
OG0000037	PBAR_PB17473-RA	ACEP_ACEP_00009275-RA
OG0000037	PBAR_PB12884-RA	ACEP_ACEP_00004597-RA, ACEP_ACEP_00009354-RA
OG0000037	PBAR_PB10830-RA	ACEP_ACEP_00013962-RA, ACEP_ACEP_00013968-RA
OG0000037	PBAR_PB10826-RA, PBAR_PB10831-RA	ACEP_ACEP_00013969-RA
OG0000037	PBAR_PB10328-RA	ACEP_ACEP_00013970-RA
OG0000038	PBAR_PB26388-RA	ACEP_ACEP_00009900-RA, ACEP_ACEP_00001993-RA, ACEP_ACEP_00015496-RA, ACEP_ACEP_00015498-RA, ACEP_ACEP_00011218-RA, ACEP_ACEP_00015494-RA, ACEP_ACEP_00015493-RA, ACEP_ACEP_00015495-RA, ACEP_ACEP_00000642-RA, ACEP_ACEP_00016857-RA, ACEP_ACEP_00016856-RA, ACEP_ACEP_00013958-RA, ACEP_ACEP_00005123-RA, ACEP_ACEP_00005122-RA, ACEP_ACEP_00016855-RA, ACEP_ACEP_00018011-RA, ACEP_ACEP_00016538-RA, ACEP_ACEP_00005121-RA, ACEP_ACEP_00015492-RA
OG0000039	PBAR_PB25136-RA	ACEP_ACEP_00010237-RA
OG0000039	PBAR_PB15785-RA	ACEP_ACEP_00015338-RA, ACEP_ACEP_00015337-RA, ACEP_ACEP_00008124-RA, ACEP_ACEP_00015336-RA
OG0000039	PBAR_PB19088-RA	ACEP_ACEP_00002484-RA
OG0000039	PBAR_PB19078-RA	ACEP_ACEP_00002461-RA
OG0000039	PBAR_PB25135-RA, PBAR_PB25133-RA	ACEP_ACEP_00010233-RA
OG0000040	PBAR_PB10883-RA	ACEP_ACEP_00010442-RA, ACEP_ACEP_00000900-RA, ACEP_ACEP_00011861-RA, ACEP_ACEP_00004980-RA
OG0000041	PBAR_PB22268-RA	ACEP_ACEP_00012909-RA
OG0000041	PBAR_PB17690-RA	ACEP_ACEP_00000919-RA, ACEP_ACEP_00000899-RA, ACEP_ACEP_00005895-RA, ACEP_ACEP_00001156-RA, ACEP_ACEP_00015619-RA, ACEP_ACEP_00008490-RA, ACEP_ACEP_00010438-RA, ACEP_ACEP_00012190-RA, ACEP_ACEP_00014737-RA, ACEP_ACEP_00012229-RA, ACEP_ACEP_00014610-RA, ACEP_ACEP_00014268-RA
OG0000041	PBAR_PB10446-RA	ACEP_ACEP_00011558-RA
OG0000044	PBAR_PB26199-RA	ACEP_ACEP_00011839-RA
OG0000044	PBAR_PB22802-RA	ACEP_ACEP_00006037-RA
OG0000045	PBAR_PB11603-RA, PBAR_PB11603-RB	ACEP_ACEP_00003507-RA
OG0000047	PBAR_PB12857-RA	ACEP_ACEP_00015568-RA
OG0000048	PBAR_PB22325-RA, PBAR_PB14509-RA, PBAR_PB11034-RA, PBAR_PB11401-RA, PBAR_PB11724-RA, PBAR_PB11402-RA, PBAR_PB11403-RA, PBAR_PB10500-RA, PBAR_PB10523-RA, PBAR_PB11358-RA	ACEP_ACEP_00013355-RA
OG0000051	PBAR_PB14420-RA	ACEP_ACEP_00001306-RA, ACEP_ACEP_00011142-RA, ACEP_ACEP_00011138-RA, ACEP_ACEP_00011141-RA, ACEP_ACEP_00001310-RA, ACEP_ACEP_00011139-RA, ACEP_ACEP_00011140-RA, ACEP_ACEP_00001315-RA, ACEP_ACEP_00001316-RA, ACEP_ACEP_00001314-RA, ACEP_ACEP_00011508-RA, ACEP_ACEP_00011136-RA, ACEP_ACEP_00001307-RA, ACEP_ACEP_00001309-RA, ACEP_ACEP_00001311-RA
OG0000052	PBAR_PB17210-RA	ACEP_ACEP_00004420-RA
OG0000052	PBAR_PB19407-RA	ACEP_ACEP_00002294-RA
OG0000052	PBAR_PB25917-RA	ACEP_ACEP_00003359-RA
OG0000052	PBAR_PB19406-RA	ACEP_ACEP_00002295-RA
OG0000052	PBAR_PB19410-RA, PBAR_PB19409-RA	ACEP_ACEP_00002297-RA
OG0000053	PBAR_PB18249-RA	ACEP_ACEP_00014151-RA, ACEP_ACEP_00014152-RA
OG0000054	PBAR_PB25191-RA	ACEP_ACEP_00011265-RA
OG0000054	PBAR_PB17557-RA	ACEP_ACEP_00014842-RA
OG0000055	PBAR_PB24189-RA	ACEP_ACEP_00017915-RA
OG0000055	PBAR_PB12189-RA	ACEP_ACEP_00009787-RA
OG0000055	PBAR_PB12187-RA, PBAR_PB18852-RA	ACEP_ACEP_00003796-RA
OG0000055	PBAR_PB25255-RA	ACEP_ACEP_00000666-RA
OG0000057	PBAR_PB24929-RA	ACEP_ACEP_00009255-RA
OG0000058	PBAR_PB14263-RA, PBAR_PB21705-RA, PBAR_PB21704-RA, PBAR_PB14264-RA, PBAR_PB14260-RA, PBAR_PB23802-RA, PBAR_PB10029-RA, PBAR_PB14261-RA, PBAR_PB10422-RA, PBAR_PB10213-RA, PBAR_PB10612-RA, PBAR_PB26222-RA, PBAR_PB10021-RA, PBAR_PB13571-RA, PBAR_PB10028-RA, PBAR_PB14262-RA, PBAR_pbar_CG32104-like-1	ACEP_ACEP_00012285-RA
OG0000061	PBAR_PB15338-RA	ACEP_ACEP_00011632-RA, ACEP_ACEP_00009600-RA, ACEP_ACEP_00014745-RA, ACEP_ACEP_00004869-RA, ACEP_ACEP_00009601-RA, ACEP_ACEP_00008108-RA, ACEP_ACEP_00012223-RA, ACEP_ACEP_00003671-RA, ACEP_ACEP_00001090-RA, ACEP_ACEP_00004868-RA, ACEP_ACEP_00004974-RA, ACEP_ACEP_00014888-RA, ACEP_ACEP_00009602-RA, ACEP_ACEP_00011633-RA, ACEP_ACEP_00005787-RA, ACEP_ACEP_00012224-RA, ACEP_ACEP_00014747-RA
OG0000062	PBAR_PB13330-RA	ACEP_ACEP_00013246-RA
OG0000062	PBAR_pbar_HSP70-1	ACEP_ACEP_00004092-RA
OG0000062	PBAR_PB16617-RA	ACEP_ACEP_00000449-RA
OG0000062	PBAR_PB15578-RA	ACEP_ACEP_00004082-RA
OG0000062	PBAR_PB26410-RA	ACEP_ACEP_00008944-RA
OG0000063	PBAR_PB24733-RA, PBAR_PB14225-RA, PBAR_PB14229-RA, PBAR_PB24057-RA, PBAR_PB14228-RA, PBAR_PB10479-RA, PBAR_PB13883-RA, PBAR_PB14227-RA, PBAR_PB11315-RA, PBAR_PB19150-RA, PBAR_PB11313-RA, PBAR_PB12673-RA, PBAR_PB18665-RA, PBAR_PB15328-RA, PBAR_PB14818-RA, PBAR_PB11482-RA, PBAR_PB12674-RA	ACEP_ACEP_00001025-RA
OG0000064	PBAR_PB13264-RA	ACEP_ACEP_00008692-RA
OG0000064	PBAR_PB14550-RA	ACEP_ACEP_00003561-RA
OG0000064	PBAR_pbar_SerT-1	ACEP_ACEP_00013110-RA
OG0000064	PBAR_PB11835-RA	ACEP_ACEP_00007791-RA
OG0000064	PBAR_PB11906-RA	ACEP_ACEP_00013513-RA
OG0000064	PBAR_PB14684-RA	ACEP_ACEP_00010593-RA
