Orthogroup	pbar_annotation	lhum_annotation
OG0000027	PBAR_12531-RA, PBAR_11390-RA, PBAR_11389-RA, PBAR_10210-RA, PBAR_10268-RA, PBAR_11392-RA, PBAR_10165-RA, PBAR_10233-RA, PBAR_10164-RA, PBAR_10151-RA, PBAR_26202-RA, PBAR_10232-RA, PBAR_10121-RA, PBAR_10096-RA, PBAR_11391-RA, PBAR_26572-RA, PBAR_26573-RA, PBAR_26617-RA, PBAR_16912-RA, PBAR_26615-RA, PBAR_26616-RA	LHUM_13656-RA
OG0000028	PBAR_20453-RA	LHUM_20985-RA, LHUM_13235-RA, LHUM_25190-RA, LHUM_14430-RA, LHUM_15605-RA, LHUM_23742-RA
OG0000028	PBAR_11430-RA, PBAR_15495-RA	LHUM_22976-RA, LHUM_13320-RA, LHUM_22974-RA, LHUM_15095-RA, LHUM_15602-RA, LHUM_10040-RA, LHUM_10741-RA, LHUM_23188-RA, LHUM_25256-RA
OG0000028	PBAR_20452-RA	LHUM_15604-RA
OG0000029	PBAR_25650-RB, PBAR_25650-RA	LHUM_10374-RA, LHUM_10373-RA, LHUM_12262-RA, LHUM_25438-RA, LHUM_10007-RA, LHUM_10861-RA, LHUM_10375-RA, LHUM_10275-RA, LHUM_10860-RA, LHUM_13179-RA, LHUM_13310-RA, LHUM_10368-RA, LHUM_25440-RA, LHUM_10862-RA, LHUM_10072-RA, LHUM_10640-RA, LHUM_13311-RA, LHUM_25439-RA
OG0000030	PBAR_17845-RA, PBAR_13849-RA, PBAR_17194-RA	LHUM_11893-RA
OG0000030	PBAR_10395-RA, PBAR_13847-RA, PBAR_15813-RA, PBAR_17838-RA, PBAR_10611-RA, PBAR_10001-RA, PBAR_10456-RA, PBAR_10418-RA, PBAR_17190-RA, PBAR_15812-RA, PBAR_10419-RA, PBAR_17839-RA, PBAR_10556-RA	LHUM_10457-RA
OG0000031	PBAR_22688-RA	LHUM_14542-RA
OG0000031	PBAR_24448-RA	LHUM_24723-RA
OG0000031	augustus-pbar_scf7180000350332-abinit-gene-2.90-mRNA-1	LHUM_15985-RA
OG0000031	PBAR_16444-RA	LHUM_22979-RA
OG0000031	PBAR_23489-RA, PBAR_23488-RA, PBAR_21981-RA	LHUM_22512-RA, LHUM_24672-RA
OG0000032	PBAR_14735-RA	LHUM_10529-RA, LHUM_16692-RA
OG0000032	PBAR_12750-RA	LHUM_16691-RA
OG0000032	PBAR_20791-RA	LHUM_15681-RA
OG0000032	PBAR_22578-RA	LHUM_24088-RA
OG0000033	PBAR_17796-RB	LHUM_10063-RA
OG0000033	PBAR_17801-RA	LHUM_24584-RA, LHUM_10536-RA, LHUM_10653-RA, LHUM_10143-RA, LHUM_15085-RA, LHUM_15086-RA, LHUM_12280-RA, LHUM_23650-RA, LHUM_10537-RA
OG0000035	PBAR_16372-RA	LHUM_18464-RA
OG0000035	PBAR_16376-RA, PBAR_16375-RA	LHUM_18458-RA
OG0000035	PBAR_26592-RA, PBAR_16374-RA	LHUM_25728-RA
OG0000036	PBAR_ar_desat_frag1-1	LHUM_14925-RA, LHUM_um_CG9747_k-RA, LHUM_24885-RA, LHUM_um_CG9747_n-RA, LHUM_um_desat_frag6-RA, LHUM_13474-RA, LHUM_13473-RA, LHUM_10840-RA, LHUM_19802-RA, LHUM_um_CG9747_i-RA, LHUM_um_CG9747_j-RA, LHUM_13323-RA, LHUM_14562-RA, LHUM_24884-RA, LHUM_13466-RA, LHUM_um_CG9747_o-RB, LHUM_13289-RA, LHUM_11825-RA, LHUM_11816-RA, LHUM_um_CG9747_m-RA, LHUM_10841-RA
OG0000037	PBAR_10825-RA	LHUM_11288-RA
OG0000037	PBAR_24933-RA, PBAR_ar_CG8306-RA, PBAR_17473-RA, PBAR_12884-RA, PBAR_10830-RA, PBAR_10826-RA, PBAR_10831-RA, PBAR_10328-RA	LHUM_10353-RA
OG0000038	PBAR_26388-RA	LHUM_23078-RA
OG0000039	PBAR_15785-RA	LHUM_20394-RA
OG0000039	PBAR_25135-RA, PBAR_25133-RA	LHUM_24044-RA
OG0000039	PBAR_25136-RA	LHUM_26075-RA, LHUM_24045-RA
OG0000039	PBAR_19088-RA, PBAR_19078-RA	LHUM_15650-RA
OG0000040	PBAR_10883-RA	LHUM_14672-RA, LHUM_15166-RA, LHUM_10123-RA, LHUM_24293-RA, LHUM_14672-RB, LHUM_11582-RA, LHUM_15666-RA, LHUM_12797-RA, LHUM_11199-RA, LHUM_10641-RA, LHUM_11590-RA, LHUM_11589-RA, LHUM_22486-RA, LHUM_14800-RA, LHUM_14792-RA, LHUM_25482-RA
OG0000041	PBAR_22268-RA	LHUM_10454-RA
OG0000041	PBAR_17690-RA	LHUM_10336-RA, LHUM_14522-RA, LHUM_15403-RA
OG0000044	PBAR_26199-RA	LHUM_12469-RA, LHUM_11594-RA, LHUM_11141-RA, LHUM_10087-RA, LHUM_10515-RA, LHUM_10282-RA, LHUM_11595-RA
OG0000044	PBAR_22802-RA	LHUM_11143-RA, LHUM_21774-RA, LHUM_10853-RA, LHUM_20539-RA, LHUM_22243-RA
OG0000044	PBAR_18611-RA	LHUM_25123-RA
OG0000045	PBAR_11603-RA	LHUM_10622-RA, LHUM_19273-RA
OG0000045	PBAR_11603-RB	LHUM_11488-RA, LHUM_20306-RA, LHUM_11176-RA, LHUM_10168-RA, LHUM_11179-RA, LHUM_13964-RA
OG0000047	PBAR_12857-RA	LHUM_14011-RA, LHUM_14010-RA, LHUM_25533-RA, LHUM_25532-RA, LHUM_24049-RA, LHUM_15063-RA, LHUM_25539-RA, LHUM_25538-RA, LHUM_13852-RA, LHUM_19459-RA, LHUM_13844-RA, LHUM_25535-RA, LHUM_18149-RA, LHUM_19196-RA, LHUM_20668-RA, LHUM_25536-RA
OG0000048	PBAR_11403-RA, PBAR_10523-RA, PBAR_11358-RA, PBAR_10500-RA, PBAR_11402-RA, PBAR_11724-RA, PBAR_11034-RA, PBAR_11401-RA, PBAR_14509-RA, PBAR_22325-RA	LHUM_12558-RA
OG0000048	PBAR_14506-RA, PBAR_11033-RA, PBAR_14758-RA, PBAR_11400-RA, PBAR_22317-RA, PBAR_11723-RA	LHUM_11593-RA, LHUM_12556-RA
OG0000051	PBAR_14420-RA	LHUM_10136-RA
OG0000052	PBAR_17210-RA	LHUM_17100-RA
OG0000052	PBAR_19407-RA	LHUM_17822-RA
OG0000052	PBAR_25917-RA	LHUM_21131-RA
OG0000052	PBAR_25930-RA	LHUM_21152-RA
OG0000052	PBAR_19406-RA	LHUM_17808-RA
OG0000052	PBAR_19410-RA	LHUM_17810-RA
OG0000052	PBAR_19409-RA	LHUM_17809-RA
OG0000053	PBAR_18249-RA	LHUM_22632-RA
OG0000054	PBAR_25191-RA	LHUM_13585-RA
OG0000054	PBAR_11368-RA	LHUM_25761-RA, LHUM_25760-RA
OG0000054	PBAR_18184-RA	LHUM_22565-RA
OG0000054	PBAR_18192-RA, PBAR_18190-RA, PBAR_18191-RA	LHUM_22562-RA
OG0000054	PBAR_12060-RA, PBAR_18193-RA, PBAR_12057-RA	LHUM_12079-RA
OG0000054	PBAR_17557-RA	LHUM_16335-RA
OG0000055	PBAR_18852-RA	LHUM_24002-RA
OG0000055	PBAR_25255-RA	LHUM_18070-RA
OG0000055	PBAR_24189-RA	LHUM_19162-RA
OG0000055	PBAR_12187-RA	LHUM_24003-RA, LHUM_19163-RA
OG0000057	PBAR_24929-RA	LHUM_16822-RA
OG0000057	PBAR_11807-RA, PBAR_19813-RA	LHUM_17363-RA
OG0000057	PBAR_20045-RA	LHUM_14471-RA, LHUM_10768-RA, LHUM_22548-RA, LHUM_10859-RA, LHUM_20452-RA, LHUM_15114-RA, LHUM_11566-RA, LHUM_10281-RA, LHUM_20453-RA, LHUM_10910-RA
OG0000058	PBAR_ar_CG32104-like-1, PBAR_14262-RA, PBAR_10028-RA, PBAR_10021-RA, PBAR_13571-RA, PBAR_10422-RA, PBAR_10213-RA, PBAR_14261-RA, PBAR_26222-RA, PBAR_10612-RA, PBAR_14263-RA, PBAR_21705-RA, PBAR_10029-RA, PBAR_23802-RA, PBAR_21704-RA, PBAR_14264-RA, PBAR_14260-RA	LHUM_12853-RA
OG0000062	PBAR_13330-RA	LHUM_11343-RA
OG0000062	PBAR_16617-RA	LHUM_22708-RA
OG0000062	PBAR_15578-RA	LHUM_23404-RA
OG0000062	PBAR_ar_HSP70-1	LHUM_12354-RA
OG0000064	PBAR_11835-RA	LHUM_24213-RA
OG0000064	PBAR_ar_SerT-1	LHUM_13102-RA
OG0000064	PBAR_13264-RA	LHUM_12899-RA
