Orthogroup	acep_annotation	lhum_annotation
OG0000056	ACEP_00015465-RA	LHUM_24288-RA, LHUM_10163-RA, LHUM_13456-RA, LHUM_13435-RA, LHUM_13326-RA, LHUM_25269-RA, LHUM_25280-RA, LHUM_26017-RA, LHUM_10858-RA, LHUM_13360-RA, LHUM_15778-RA, LHUM_15774-RA, LHUM_10358-RA, LHUM_12271-RA, LHUM_10517-RA, LHUM_25262-RA
OG0000057	ACEP_00009255-RA	LHUM_16822-RA, LHUM_16824-RA, LHUM_11637-RA, LHUM_17363-RA, LHUM_14471-RA, LHUM_10768-RA, LHUM_22548-RA, LHUM_10859-RA, LHUM_20452-RA, LHUM_15114-RA, LHUM_11566-RA, LHUM_10281-RA, LHUM_20453-RA, LHUM_10910-RA
OG0000058	ACEP_00012285-RA	LHUM_12853-RA
OG0000062	ACEP_00013246-RA	LHUM_11343-RA
OG0000062	ACEP_00000449-RA	LHUM_22708-RA
OG0000062	ACEP_00004082-RA	LHUM_23404-RA
OG0000062	ACEP_00004092-RA	LHUM_12354-RA
OG0000062	ACEP_00003321-RA	LHUM_11342-RA
OG0000064	ACEP_00007791-RA	LHUM_24213-RA
OG0000064	ACEP_00013110-RA	LHUM_13102-RA
OG0000064	ACEP_00008692-RA	LHUM_12899-RA
OG0000064	ACEP_00003561-RA	LHUM_11173-RA
OG0000064	ACEP_00013513-RA	LHUM_23378-RA
OG0000064	ACEP_00010593-RA	LHUM_16392-RA
OG0000065	ACEP_00001056-RA, ACEP_00001059-RA	LHUM_26113-RA
OG0000065	ACEP_00001049-RA	LHUM_24938-RA
OG0000065	ACEP_00001051-RA	LHUM_26112-RA
OG0000066	ACEP_00001000-RA, ACEP_00009402-RA, ACEP_00010463-RA, ACEP_00005956-RA	LHUM_23901-RA
OG0000067	ACEP_00001292-RA	LHUM_21670-RA
OG0000068	ACEP_00011805-RA, ACEP_00011771-RA, ACEP_00000935-RA, ACEP_00014590-RA, ACEP_00005792-RA, ACEP_00011812-RA, ACEP_00011792-RA, ACEP_00011756-RA, ACEP_00001038-RA, ACEP_00009197-RA, ACEP_00000934-RA, ACEP_00015351-RA, ACEP_00011813-RA, ACEP_00011802-RA, ACEP_00011791-RA, ACEP_00009174-RA	LHUM_19579-RA
OG0000069	ACEP_00017186-RA	LHUM_25609-RA
OG0000069	ACEP_00002716-RA	LHUM_16353-RA, LHUM_25611-RA, LHUM_25596-RA, LHUM_25597-RA, LHUM_25607-RA, LHUM_25605-RA, LHUM_16362-RA, LHUM_16360-RA, LHUM_25610-RA, LHUM_25606-RA
OG0000071	ACEP_00010659-RA	LHUM_13167-RA
OG0000075	ACEP_00002851-RA	LHUM_25498-RA
OG0000075	ACEP_00012797-RA	LHUM_14190-RA
OG0000075	ACEP_00016287-RA	LHUM_20267-RA
OG0000075	ACEP_00015550-RA	LHUM_19129-RA
OG0000076	ACEP_00005232-RA	LHUM_26004-RA, LHUM_26005-RA
OG0000076	ACEP_00008517-RA	LHUM_25149-RA
OG0000076	ACEP_00013948-RA	LHUM_11300-RA
OG0000076	ACEP_00012612-RA	LHUM_11974-RA
OG0000078	ACEP_00016737-RA, ACEP_00012620-RA, ACEP_00009871-RA, ACEP_00003969-RA, ACEP_00003970-RA, ACEP_00012619-RA, ACEP_00016410-RA, ACEP_00012621-RA, ACEP_00000809-RA, ACEP_00000807-RA, ACEP_00011415-RA, ACEP_00011959-RA, ACEP_00011958-RA, ACEP_00011491-RA, ACEP_00014531-RA	LHUM_26034-RA
OG0000079	ACEP_00002291-RA	LHUM_17824-RA
OG0000079	ACEP_00006947-RA, ACEP_00006945-RA	LHUM_21966-RA
OG0000079	ACEP_00017989-RA	LHUM_25915-RA, LHUM_25927-RA
OG0000081	ACEP_00014091-RA	LHUM_20345-RA
OG0000081	ACEP_00014076-RA	LHUM_20333-RA
OG0000081	ACEP_00013118-RA	LHUM_24989-RA
OG0000081	ACEP_00018112-RA	LHUM_19594-RA
OG0000081	ACEP_00007446-RA	LHUM_19591-RA
OG0000081	ACEP_00007447-RA	LHUM_19592-RA
OG0000082	ACEP_00003731-RA, ACEP_00003729-RA	LHUM_24891-RA
OG0000082	ACEP_00012742-RA	LHUM_21289-RA
OG0000082	ACEP_00006784-RA	LHUM_20877-RA, LHUM_21967-RA
OG0000083	ACEP_00018208-RA	LHUM_13395-RA, LHUM_15617-RA, LHUM_13193-RA
OG0000083	ACEP_00014640-RA	LHUM_25281-RA, LHUM_11891-RA, LHUM_25442-RA, LHUM_11890-RA, LHUM_11999-RA, LHUM_10514-RA, LHUM_15621-RA, LHUM_13396-RA, LHUM_11891-RB, LHUM_22496-RA
OG0000084	ACEP_00007488-RA	LHUM_19568-RA
OG0000084	ACEP_00009190-RA	LHUM_10075-RA, LHUM_23928-RA
OG0000084	ACEP_00004210-RA	LHUM_um_for-1
OG0000085	ACEP_00017895-RA	LHUM_25389-RA
OG0000085	ACEP_00016389-RA	LHUM_11871-RB, LHUM_11871-RA
OG0000085	ACEP_00013632-RA	LHUM_12493-RA, LHUM_21657-RA
OG0000085	ACEP_00013631-RA	LHUM_21658-RA
OG0000086	ACEP_00004263-RA	LHUM_20664-RA
OG0000086	ACEP_00002832-RA	LHUM_15676-RA, LHUM_13301-RA, LHUM_24309-RA, LHUM_24303-RA
OG0000086	ACEP_00016355-RA, ACEP_00004262-RA	LHUM_13302-RA, LHUM_11410-RA, LHUM_15675-RA
OG0000087	ACEP_00009639-RA	LHUM_16203-RA, LHUM_15662-RA, LHUM_10357-RA, LHUM_12810-RA, LHUM_10274-RA, LHUM_10465-RA, LHUM_23231-RA, LHUM_10635-RA, LHUM_11742-RA, LHUM_20014-RA, LHUM_10521-RA, LHUM_25261-RA, LHUM_19915-RA
OG0000089	ACEP_00010073-RA	LHUM_15599-RA, LHUM_14704-RA, LHUM_13390-RA, LHUM_10146-RA, LHUM_22763-RA, LHUM_11879-RA, LHUM_25283-RA, LHUM_25524-RA, LHUM_26021-RA, LHUM_15598-RA, LHUM_10842-RA, LHUM_10151-RA, LHUM_25300-RA, LHUM_11492-RA
OG0000094	ACEP_00002453-RA	LHUM_15639-RA
OG0000094	ACEP_00008314-RA	LHUM_16303-RA
OG0000094	ACEP_00006332-RA	LHUM_14631-RA
OG0000094	ACEP_00004174-RA	LHUM_12628-RA
OG0000094	ACEP_00013609-RA	LHUM_12506-RA
OG0000095	ACEP_00005734-RA	LHUM_23821-RA
OG0000095	ACEP_00004814-RA	LHUM_23332-RA
OG0000095	ACEP_00004888-RA	LHUM_12385-RA
OG0000095	ACEP_00003629-RA	LHUM_24960-RA
OG0000095	ACEP_00005727-RA	LHUM_um_nAChRa1-RA
OG0000096	ACEP_00016703-RA, ACEP_00011186-RA, ACEP_00011187-RA, ACEP_00016483-RA, ACEP_00011185-RA	LHUM_17224-RA
OG0000097	ACEP_00012329-RA	LHUM_14556-RA, LHUM_18707-RA
OG0000097	ACEP_00012330-RA	LHUM_12623-RA, LHUM_25211-RA, LHUM_18381-RA, LHUM_12622-RA, LHUM_10542-RA, LHUM_17397-RA, LHUM_12522-RA, LHUM_10273-RA, LHUM_25207-RA, LHUM_18710-RA
